,0
0,0.3230132009779205
1,0.3289495998644885
2,0.35155332181174725
3,0.375050478308152
4,0.39886673115522486
5,0.4228678267752205
6,0.44698922602010926
7,0.47124131851808404
8,0.4955585281490814
9,0.5199392272348994
10,0.5443778826251198
11,0.568847964033304
12,0.5933329448418468
13,0.6178225660546052
14,0.6423220419701998
15,0.6668333094607651
16,0.6913572546114775
17,0.7158929041664875
18,0.7404378384336548
19,0.7649909922056451
20,0.7895510129191197
21,0.8141165661253268
22,0.8386862255802979
23,0.8632584739839729
24,0.8878321781309559
25,0.9124078062100736
26,0.9369858172134551
27,0.8318826114453723
28,0.6010935850880483
29,0.36316424631199207
30,0.25185810321447877
31,0.13424024606978413
32,0.022197343165572366
33,0.0
