,0
0,0.3699972093980842
1,0.36389635128252407
2,0.3788369736280687
3,0.3812188655651431
4,0.3903857932196113
5,0.40707680590820816
6,0.4288984429238776
7,0.4526772657677059
8,0.4773290325386926
9,0.5024444419617073
10,0.5278793028803255
11,0.5534838188182034
12,0.5792225447199408
13,0.6050300870135207
14,0.6309007257527766
15,0.656826457545365
16,0.6827694368160968
17,0.7087372960126012
18,0.734680505319137
19,0.7605909165340465
20,0.7864806639994558
21,0.8124078431136834
22,0.8383521646701085
23,0.864319538663571
24,0.8903023219297532
25,0.916297927161288
26,0.9423052407281789
27,0.9683234154739733
28,0.8459958862040632
29,0.08888353229007495
30,0.0
