,0
0,0.5942275762101357
1,0.578258245746676
2,0.5879772016365719
3,0.5949877736051375
4,0.6035140440828444
5,0.6158026714878035
6,0.6316351909797601
7,0.6499472247733328
8,0.6691366590990735
9,0.6894612875305751
10,0.711391348358993
11,0.7341792333706614
12,0.7574303251150044
13,0.7810200311904303
14,0.804842099497953
15,0.8288891795468597
16,0.8531307196060934
17,0.8775312501911294
18,0.9020516926382743
19,0.9266378440256828
20,0.9512964724811932
21,0.9756534740022668
22,0.7209384633911302
23,0.3043891595410504
24,0.14858311914619826
25,0.038409292493318266
26,0.0
