,0
0,0.456135120481025
1,0.45880537355633594
2,0.48417750730002324
3,0.5097740304335563
4,0.5354268489993088
5,0.5611094197033302
6,0.5868190205059198
7,0.6125383719481612
8,0.6382596520205761
9,0.6639931083748508
10,0.6897337724037381
11,0.715480658339429
12,0.7412327723027623
13,0.766988352464477
14,0.7927476076964397
15,0.818508721319632
16,0.8442719468153912
17,0.8700362408641159
18,0.8958016768459507
19,0.9215675680281993
20,0.8887196811147469
21,0.7715470509691225
22,0.5638398765976297
23,0.17001586542297606
24,0.09821592692387984
25,0.013660825263943018
26,0.0
