,0
0,0.3772457658703775
1,0.38734260953316035
2,0.4157156174081321
3,0.44419728732771174
4,0.47273011171154466
5,0.5012936378716913
6,0.5298666941091396
7,0.5584485973776968
8,0.5870357969686563
9,0.6156311171950739
10,0.6442337744976603
11,0.6728415932548852
12,0.7014528409210299
13,0.730067052584725
14,0.7586841290417264
15,0.7873037306074961
16,0.8159254471916076
17,0.8445487774389484
18,0.8731732762203207
19,0.901798563609108
20,0.9304243799579215
21,0.9590505894755507
22,0.765559188632603
23,0.20897980200399704
24,0.0
