,0
0,0.591788389886132
1,0.5739914062669965
2,0.5906462206049575
3,0.6106726580351165
4,0.6327717842335214
5,0.6562088713240838
6,0.68070158394042
7,0.7060460798630138
8,0.7318993651330185
9,0.758123475378262
10,0.7848531199367436
11,0.8120071820260562
12,0.8394980575941874
13,0.867169446380967
14,0.8950428429517715
15,0.8268572257186326
16,0.8135088427763678
17,0.7325362141167379
18,0.547713307817658
19,0.3681155463667918
20,0.21144497696528755
21,0.15152403493371
22,0.021359908278224086
23,0.0
