,0
0,0.33638095846634014
1,0.34155253280414893
2,0.3644690912087386
3,0.3807280869057208
4,0.40002954100854204
5,0.4215614962468164
6,0.4443609943775727
7,0.46803827016571714
8,0.49238968304622743
9,0.5171322494764671
10,0.5422241981546699
11,0.567641606680191
12,0.5933591904590428
13,0.6193276595767038
14,0.6454732517743538
15,0.6717466340707264
16,0.6981125117632015
17,0.7245487218794957
18,0.7510407193101282
19,0.7775763193678976
20,0.8041459623836938
21,0.8307435843041047
22,0.8573642396881233
23,0.8840041233660224
24,0.9106593229769216
25,0.9373273592165895
26,0.9640072893523784
27,0.7870953380941818
28,0.18285432414123956
29,0.0
