,0
0,0.5439513748597975
1,0.5103842251519198
2,0.5143712282637213
3,0.5239714264521246
4,0.5375930018822757
5,0.5529182057583668
6,0.5697478642580512
7,0.5881881416822297
8,0.6086383411621913
9,0.6304380099733948
10,0.6529154469358167
11,0.6759186684875188
12,0.6992234787637316
13,0.7227330300880813
14,0.7464027244776164
15,0.7701656391524303
16,0.7940137244281767
17,0.8179321407478749
18,0.8418834925754975
19,0.865878032620934
20,0.8899049700881364
21,0.913948977528665
22,0.9380184159803696
23,0.9621033976174258
24,0.9021828513337606
25,0.23480616546588623
26,0.0
