,0
0,0.48165009417551163
1,0.4627143832342853
2,0.47061990726182307
3,0.48220667621025043
4,0.497419955861949
5,0.5153063861857002
6,0.535066119394192
7,0.554041743740977
8,0.5729149569152089
9,0.5929132334240691
10,0.6135918512289029
11,0.6347162193337543
12,0.6561191140372397
13,0.6777697644078801
14,0.6996229869366231
15,0.721615786694647
16,0.7437163843747662
17,0.765903802240461
18,0.7881598964624987
19,0.8104679818016928
20,0.8328234672699348
21,0.8552192778106322
22,0.8776476551131843
23,0.9001025465448763
24,0.9225767117304732
25,0.9450660766462794
26,0.9675717397154057
27,0.9037737933135968
28,0.21646970976873672
29,0.0
