,0
0,0.31409399641792823
1,0.3263844240696019
2,0.3545717090359256
3,0.38313930290738285
4,0.41190428254229494
5,0.4407407775853201
6,0.4696532307363763
7,0.4986358809004607
8,0.5276336798605743
9,0.5566563603664259
10,0.5857074526114572
11,0.6147800993853286
12,0.6438660608530985
13,0.6729630352775627
14,0.7020713030451077
15,0.731183214735715
16,0.7602991876039312
17,0.7894208810362817
18,0.8185449809635773
19,0.8476726476284074
20,0.8768028023492106
21,0.9059348722321984
22,0.9019356471919291
23,0.8337244721488529
24,0.6211396974838477
25,0.2661206238532852
26,0.09656883477900277
27,0.024553204987172502
28,0.0
