,0
0,0.5189539962817655
1,0.5011187011732516
2,0.515583261430161
3,0.5329493368205779
4,0.552911880794402
5,0.5740528701320264
6,0.5960289486979866
7,0.6188283061783942
8,0.6420690392800048
9,0.6656676483969592
10,0.6894340265947783
11,0.7134652793311872
12,0.7376854905994976
13,0.7620568869296876
14,0.7865649992601533
15,0.8111925601222797
16,0.8359060185686908
17,0.8606684062717017
18,0.8854488275475674
19,0.8735472612293421
20,0.8306302208108974
21,0.807346391217349
22,0.7496689504218654
23,0.5313901089591058
24,0.3626725413233962
25,0.25210247484819864
26,0.16148629563622463
27,0.07313270741072156
28,0.04829938952441125
29,0.02224796801869142
30,0.0
